Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
48-argentine-bi-cover,"48"" ARGENTINE BI COVER",<p></p>,Sunterra,Accessories,"",false,Title,Default Title,,,,,ARG48DSIBR7030,0.0,shopify,0,continue,manual,329.99,,true,true,'00000012487030,,,,false,,,,,,,,,,,,,,,,,lb,,147.20,active
48-built-in-argentine-grill,"48"" BUILT IN ARGENTINE GRILL",<p></p>,Sunterra,Barbeques,"",false,Title,Default Title,,,,,ARG-48DSIBR7030,0.0,shopify,0,continue,manual,2999.99,,true,true,'00000001487030,,,,false,,,,,,,,,,,,,,,,,lb,,1186.00,active
20-round-paella-pan,"20"" ROUND PAELLA PAN",<p></p>,Sunterra,Accessories,"",false,Title,Default Title,,,,,SMPAELLA20,0.0,shopify,0,continue,manual,249.99,,true,true,'603004602555,,,,false,,,,,,,,,,,,,,,,,lb,,112.50,active
1grill-hd-ss-5-8x53-w-motor,"1GRILL HD SS 5/8""X53"" W/MOTOR",<p></p>,One Grill,Accessories,"",false,Title,Default Title,,,,,6PS1007,0.0,shopify,0,continue,manual,499.99,,true,true,'00202003081319,,,,false,,,,,,,,,,,,,,,,,lb,,311.55,active
1grill-hd-ss-1-2x45-w-motor,"1GRILL HD SS 1/2""X45"" W/MOTOR",<p></p>,One Grill,Accessories,"",false,Title,Default Title,,,,,4PS245M,0.0,shopify,0,continue,manual,199.99,,true,true,'00202003081306,,,,false,,,,,,,,,,,,,,,,,lb,,80.00,active
1grill-hd-ss-5-8x45-w-motor,"1GRILL HD SS 5/8""X45"" W/MOTOR",<p></p>,One Grill,Accessories,"",false,Title,Default Title,,,,,6PS1006,0.0,shopify,0,continue,manual,499.99,,true,true,'00202003081321,,,,false,,,,,,,,,,,,,,,,,lb,,197.99,active
1grill-hd-ss-tpod-5-8x60-w-m,"1GRILL HD SS TPOD 5/8""X60"" W/M",<p></p>,One Grill,Accessories,"",false,Title,Default Title,,,,,6PS1002,0.0,shopify,0,continue,manual,699.99,,true,true,'00202003081323,,,,false,,,,,,,,,,,,,,,,,lb,,275.00,active
arteflame-40-rotisserie,ARTEFLAME 40 ROTISSERIE,<p></p>,Arteflame,Accessories,"",false,Title,Default Title,,,,,ARTE40ROTISS,0.0,shopify,0,continue,manual,399.99,,true,true,'04004293250003,,,,false,,,,,,,,,,,,,,,,,lb,,161.85,active
arteflame-classic-40-cover,ARTEFLAME CLASSIC 40 COVER,<p></p>,Arteflame,Accessories,"",false,Title,Default Title,,,,,ARTE40COVER,0.0,shopify,0,continue,manual,199.99,,true,true,'04004293250002,,,,false,,,,,,,,,,,,,,,,,lb,,83.85,active
arteflame-classic-40-tall-bas,"ARTEFLAME CLASSIC 40"" TALL BAS",<p></p>,Arteflame,Barbeques,"",false,Title,Default Title,,,,,ARTECL40TALL,0.0,shopify,0,continue,manual,3299.00,,true,true,'04004293250000,,,,false,,,,,,,,,,,,,,,,,lb,,1225.00,active
arteflame-40-euro,"ARTEFLAME 40"" EURO",<p></p>,Arteflame,Barbeques,"",false,Title,Default Title,,,,,ARTECL40EURO,0.0,shopify,0,continue,manual,3299.00,,true,true,'04004293250098,,,,false,,,,,,,,,,,,,,,,,lb,,1326.50,active
arteflame-classic-40-grate,ARTEFLAME CLASSIC 40 GRATE,<p></p>,Arteflame,Accessories,"",false,Title,Default Title,,,,,ARTE40GRATE,0.0,shopify,0,continue,manual,179.99,,true,true,'04004293250001,,,,false,,,,,,,,,,,,,,,,,lb,,97.30,active
